<Phenotype>
taxa	data	data	data
Taxa	EarHT	dpoll	EarDia
811	59.5	NaN	NaN
33-16	64.75	64.5	NaN
38-11	92.25	68.5	37.897
4226	65.5	59.5	32.21933
4722	81.13	71.5	32.421
A188	27.5	62.0	31.419
A214N	65.0	69.0	32.006
A239	47.88	61.0	36.064
A272	35.63	70.0	NaN
A441-5	53.5	67.5	35.008
A554	38.5	66.0	33.41775
A556	28.0	65.0	31.929
A6	109.5	80.5	31.5175
A619	36.0	61.0	40.63
A632	60.0	61.0	35.953
A634	54.0	59.0	35.601
A635	37.0	64.0	35.3005
A641	54.5	66.0	33.727
A654	39.0	64.0	NaN
A659	46.5	58.5	38.84617
A661	51.5	59.0	39.323
A679	65.0	66.0	42.471
A680	68.0	65.5	41.152
A682	47.0	57.5	35.928
AB28A	73.5	78.0	32.504
B10	74.0	69.0	36.561
B103	37.0	57.5	NaN
B104	56.25	64.5	44.773
B105	67.5	68.0	39.857
B109	67.0	64.0	38.951
B115	68.0	65.5	37.05975
B14A	57.0	63.5	38.067
B164	66.0	58.0	35.562
B2	39.5	70.0	NaN
B37	72.5	65.5	36.4475
B46	42.0	69.0	40.699
B52	72.5	70.0	NaN
B57	41.0	65.0	37.87475
B64	74.5	68.5	37.221
B68	65.0	71.5	38.889
B73	83.25	70.0	41.633
B73HTRHM	73.0	67.0	42.956
B75	56.0	62.0	38.2075
B76	53.0	61.5	35.33575
B77	50.0	65.0	39.028
B79	66.5	66.5	41.61
B84	72.0	67.5	37.622
B97	53.0	60.5	37.665
C103	52.5	66.5	34.91575
C123	32.0	62.5	NaN
C49	22.0	55.5	32.93267
C49A	22.5	57.0	28.544
CH701-30	61.0	60.0	33.5835
CH9	41.5	67.5	38.90333
CI187-2	62.63	70.5	34.085
CI21E	64.0	68.0	40.991
CI28A	72.5	66.5	37.328
CI31A	74.0	73.0	NaN
CI3A	66.5	70.0	44.051
CI44	57.0	73.0	40.172
CI64	64.5	70.5	41.403
CI66	47.0	75.0	32.5045
CI7	84.67	68.5	37.889
CI90C	63.5	67.5	33.92475
CI91B	49.0	66.5	35.53867
CM105	31.5	65.5	36.218
CM174	34.5	64.0	32.9705
CM37	24.0	57.5	25.74375
CM7	28.0	61.5	31.667
CML10	110.0	77.0	33.33867
CML103	88.5	69.0	42.029
CML108	55.5	71.5	40.739
CML11	97.25	80.5	33.48683
CML14	80.0	82.0	30.863
CML154Q	61.0	72.5	42.933
CML157Q	111.5	71.5	40.303
CML158Q	74.0	74.5	41.6995
CML218	62.0	69.0	35.57
CML220	44.0	63.5	40.216
CML228	74.0	72.5	31.339
CML238	57.5	74.0	42.477
CML247	68.5	78.0	37.79683
CML254	70.0	NaN	NaN
CML258	133.0	81.0	37.02083
CML261	104.17	77.0	37.46267
CML264	60.5	82.0	NaN
CML277	82.5	75.0	39.036
CML281	73.5	81.0	NaN
CML287	95.0	75.0	37.24
CML311	89.25	NaN	NaN
CML314	81.5	69.0	38.929
CML321	82.0	79.5	39.339
CML322	66.75	68.0	40.0235
CML323	63.0	70.5	39.081
CML328	74.5	65.0	34.876
CML331	59.0	77.0	NaN
CML332	66.5	70.5	37.182
CML333	97.5	69.0	36.581
CML341	94.63	73.0	42.116
CML349	55.25	68.5	NaN
CML38	82.5	75.5	32.36083
CML45	45.0	82.5	NaN
CML5	94.25	78.0	NaN
CML52	104.33	81.0	32.69017
CML69	76.0	73.5	37.723
CML77	63.0	68.5	43.716
CML91	64.5	69.5	39.435
CML92	68.0	71.5	40.503
CMV3	32.5	59.5	NaN
CO106	34.5	55.0	NaN
CO109	26.5	61.5	NaN
CO125	32.13	60.0	31.788
CO255	38.0	61.5	32.06183
D940Y	74.0	71.5	34.624
DE1	64.5	69.0	44.774
DE2	57.5	65.5	46.353
DE3	70.0	65.0	44.496
DE811	80.0	72.5	35.45125
E2558W	59.5	67.5	37.38
EP1	37.08	62.0	NaN
F2	34.0	63.5	27.147
F2834T	40.0	62.0	33.28333
F44	94.0	75.0	36.49875
F6	101.5	77.0	NaN
F7	27.5	58.0	27.689
GA209	76.33	74.5	34.958
GT112	136.0	78.5	NaN
H100	56.0	64.5	41.0735
H105W	44.5	61.5	40.51
H49	58.0	61.5	39.416
H84	48.0	64.0	41.838
H91	60.0	64.5	39.201
H95	55.0	65.5	38.834
H99	31.0	68.5	34.677
HI27	93.5	71.0	35.425
HP301	62.0	61.5	27.158
HY	56.5	64.5	34.823
I137TN	56.5	69.0	NaN
I205	55.0	66.0	NaN
I29	54.0	63.0	31.407
IA2132	43.0	67.0	35.154
IA5125	29.5	64.0	29.7525
IDS28	71.5	63.0	31.358
IDS69	44.0	65.0	24.88225
IDS91	41.0	62.5	27.553
IL101	31.5	65.0	32.357
IL14H	46.0	61.0	34.999
IL677A	45.5	64.5	36.276
K148	42.0	65.5	33.984
K4	70.0	69.0	36.81433
K55	43.0	67.5	39.8425
K64	69.25	67.5	42.828
KI11	63.0	74.5	40.465
KI14	95.5	78.0	29.192
KI2021	107.0	75.0	40.14633
KI21	87.5	70.5	40.063
KI3	57.75	72.0	34.7015
KI43	59.0	76.0	30.326
KI44	55.0	71.0	33.19267
KI2007	61.0	67.5	37.622
KY21	76.5	70.5	38.93467
KY226	64.0	72.5	37.37125
KY228	58.38	75.5	NaN
L317	98.0	65.5	34.72825
L578	101.5	72.5	39.627
M14	35.0	59.5	35.6355
M162W	63.5	74.5	40.095
M37W	62.88	70.0	38.801
MEF15655	NaN	65.0	NaN
MEF156-55-2	62.5	NaN	NaN
MO17	46.0	59.5	33.672
MO18W	65.5	70.5	39.596
MO1W	62.0	65.0	42.972
MO24W	101.5	67.5	45.51175
MO44	46.0	57.5	38.022
MO45	74.33	65.5	35.389
MO46	54.5	65.0	39.526
MO47	36.5	59.0	35.91767
MOG	87.88	65.0	42.585
MP339	71.5	71.5	38.333
MS1334	54.5	66.0	30.83556
MS153	55.0	59.0	42.406
MS71	47.5	57.0	35.358
MT42	44.5	59.0	29.971
N192	42.5	57.5	40.355
N28HT	57.0	66.5	41.431
N6	45.0	61.0	39.82533
N7A	54.5	63.5	41.767
NC222	84.5	70.5	37.047
NC230	57.0	70.0	43.833
NC232	55.0	68.5	44.877
NC236	58.0	72.5	36.2865
NC238	43.0	78.0	38.29429
NC250	37.0	64.0	36.44
NC258	60.5	70.0	36.866
NC260	52.5	63.0	35.866
NC262	25.0	59.0	37.31
NC264	48.0	65.0	38.303
NC268	74.38	69.5	32.867
NC290A	34.0	61.5	40.5525
NC292	55.5	65.5	42.8125
NC294	74.0	66.5	38.888
NC296	68.5	67.0	38.83125
NC296A	59.5	68.5	38.211
NC298	62.0	72.5	29.191
NC300	68.0	70.0	42.694
NC302	53.0	67.5	36.349
NC304	8.0	65.0	NaN
NC306	62.88	68.0	34.54667
NC308	59.63	66.0	39.408
NC310	60.5	65.0	41.4595
NC312	67.5	69.5	38.0875
NC314	58.0	66.0	36.278
NC316	85.38	69.0	42.321
NC318	72.0	72.0	31.811
NC320	83.0	71.5	41.711
NC322	77.5	71.5	33.15975
NC324	56.5	68.0	33.9025
NC326	88.0	67.0	41.2355
NC328	60.0	66.0	37.45
NC33	101.0	72.0	36.104
